,Unnamed: 0,name,Prediction result,pro non_persion
0,0,ho quy nhan,1,0.0046434998512268
1,1,lam thi thanh xuan,1,0.0031905770301818
2,2,tran van mien,1,0.0027657151222229
3,3,nguyen ngoc dung,1,0.0021114945411682
4,4,quang thi nhung,1,0.0034708380699157
5,5,nguyen quang dat,1,0.0006294846534729
6,6,do hoang long,1,0.0253015160560607
7,7,nguyen van trung,1,0.001303493976593
8,8,do ngoc thanh van,1,0.0241341590881347
9,9,loc nong hoa,1,0.2472971081733703
10,10,tran quoc thao nguyen,1,0.0012911558151245
11,11,nguyen hoang long,1,0.001328706741333
12,12,dinh hai chieu,1,0.1773544549942016
13,13,huynh thi kim quy,1,0.0005813837051391
14,14,dang thi kim dung,1,0.0054993629455566
15,15,nham manh cuong,1,0.2140038609504699
16,16,le thi van,1,0.000920295715332
17,17,nguyen le ca,1,0.0014516711235046
18,18,ubnd xa xuong thinh,0,0.8151535391807556
19,19,nguyen thi nga,1,0.0013218522071838
20,20,le tuan chien,1,0.0111411809921264
21,21,pham minh thanh,1,0.0026756525039672
22,22,trieu van phu,1,0.0022895336151123
23,23,truong le kieu giang,1,0.2603970170021057
24,24,ct tnhh dau homemade - cn 45ahl,0,0.9999982118606568
25,25,nguyen ngoc anh,1,0.0022774338722229
26,26,nguyen thi cuc,1,0.001221477985382
27,27,ho nguyen huyen trang,1,0.0141252875328063
28,28,nguyen thi xuan hien,1,0.0039957165718078
29,29,le tuan an,1,0.007864236831665
30,30,nguyen tri phuong,1,0.0007277131080627
31,31,pham gia an,1,0.017763078212738
32,32,phan duy cam hong,1,0.0788080096244812
33,33,nguyen thanh tien,1,0.0008304119110107
34,34,ngan nhat linh,1,0.0708597302436828
35,35,tran anh tuan,1,0.0071044564247131
36,36,le van bach,1,0.0152884721755981
37,37,van diep,1,0.034936249256134
38,38,vo thi cuc,1,0.0018022656440734
39,39,huynh thi nhu yen,1,0.0133174657821655
40,40,chung hoang tuan,1,0.0550807118415832
41,41,do thi nam,1,0.0006610751152038
42,42,huynh van nhu,1,0.0034579634666442
43,43,nguyen manh quyet,1,0.0003926157951354
44,44,nguyen thi ly,1,0.0009377598762512
45,45,tran ba minh,1,0.0049329996109008
46,46,tran phuoc thien,1,0.0031360387802124
47,47,nguyen thi binh,1,0.0007475018501281
48,48,phan nhat uyen,1,0.0139756798744201
49,49,tran xuan thuong,1,0.0105047821998596
50,50,bui thi tu tho,1,0.0031848549842834
51,51,nguyen huu manh,1,0.0009129047393798
52,52,nguyen duc trung,1,0.001232624053955
